Expo	Gaus	Uniform	Bimodal								Expo	Gaus	Uniform	Bimodal			Expo	Gaus	Uniform	Bimodal
0.01914	0.00005	0.00399	0.00086								-5.706573	-13.289063	-7.969116	-10.622282			-0.000693	-0.99865	-0.000279	0.438907
0.01856	0.00005	0.00408	0.00012								-5.751057	-13.289063	-7.938454	-13.218885			-0.000602	-0.99865	0.001239	0.194206
0.01781	0.00006	0.00358	0.00011								-5.811005	-13.289063	-8.139527	-13.253973			-0.000164	-0.735615	0.013701	0.103764
0.01832	0.00001	0.00424	0.00014								-5.77024	-13.289063	-7.887299	-13.148707			-0.000196	-3.320578	0.005579	0.346421
0.01801	0.00009	0.00378	0.0001								-5.795018	-13.289063	-8.0564	-13.289063			-0.00004	-0.150653	0.009001	0.00135
0.01768	0.00004	0.00369	0.00015								-5.821449	-13.289063	-8.093808	-13.113616			-0.000288	-1.320578	0.011643	0.410866
0.01728	0.00009	0.00414	0.0002								-5.85502	-13.289063	-7.919271	-12.938171			0.000267	-0.150653	0.003118	0.650458
0.01646	0.00006	0.00406	0.00014								-5.924863	-13.289063	-7.944849	-13.148707			-0.000029	-0.735615	0.000544	0.346421
0.01675	0.00008	0.00432	0.00018								-5.899501	-13.289063	-7.861721	-13.00835			-0.000194	-0.320579	0.006968	0.568634
0.01647	0.00006	0.00386	0.00021								-5.923985	-13.289063	-8.023149	-12.903081			-0.000031	-0.735615	0.005965	0.685759
0.01624	0.00005	0.00372	0.00033								-5.944206	-13.289063	-8.081338	-12.482011			-0.000098	-0.99865	0.010856	0.916765
0.01613	0.00009	0.00403	0.00022								-5.953877	-13.289063	-7.95444	-12.867992			-0.000232	-0.150653	-0.000565	0.717783
0.01478	0.00017	0.0038	0.00032								-6.080237	-13.043438	-8.048088	-12.5171			0.000027	0.52126	0.008302	0.907458
0.0142	0.00014	0.00422	0.00034								-6.138111	-13.148707	-7.893693	-12.446922			0.000146	0.346421	0.005152	0.924744
0.01522	0.00016	0.00371	0.00037								-6.038033	-13.078529	-8.085494	-12.341654			0.000146	0.468888	0.011128	0.941466
0.0141	0.00015	0.00424	0.00035								-6.148102	-13.113616	-7.887299	-12.411832			-0.000059	0.410866	0.005579	0.931475
0.01331	0.00014	0.00394	0.00037								-6.230821	-13.148707	-7.989898	-12.341654			-0.000525	0.346421	0.002309	0.941466
0.0134	0.00025	0.0039	0.00044								-6.221109	-12.762724	-8.006524	-12.09603			-0.000514	0.79694	0.004213	0.94582
0.01335	0.00011	0.00424	0.00046								-6.226504	-13.253973	-7.887299	-12.025851			-0.000512	0.103764	0.005579	0.939772
0.01333	0.00009	0.00402	0.0005								-6.228662	-13.289063	-7.957637	-11.885494			-0.000517	-0.150653	-0.000951	0.919709
0.01282	0.00018	0.00415	0.00076								-6.283695	-13.00835	-7.916074	-10.973176			-0.001766	0.568634	0.003401	0.611462
0.01219	0.00019	0.00382	0.00071								-6.359066	-12.97326	-8.039774	-11.148621			0.000907	0.611547	0.007563	0.688727
0.01296	0.00019	0.00389	0.00074								-6.268588	-12.97326	-8.01068	-11.043353			-0.001203	0.611547	0.004665	0.643165
0.01277	0.00028	0.00369	0.00087								-6.289526	-12.657457	-8.093808	-10.587193			-0.001571	0.85517	0.011643	0.420495
0.012	0.00023	0.00383	0.00075								-6.381845	-12.832903	-8.035618	-11.008264			0.001024	0.746825	0.007178	0.627441
0.01192	0.00023	0.0042	0.00117								-6.391437	-12.832903	-7.900087	-9.770946			0.000965	0.746825	0.004692	0.03167
0.01146	0.00034	0.00364	0.00132								-6.449538	-12.446922	-8.114589	-9.627672			0.002289	0.924744	0.012743	0.062425
0.01177	0.0003	0.00384	0.00109								-6.409893	-12.587279	-8.031462	-9.847359			0.001151	0.884529	0.006783	0.005902
0.01176	0.00044	0.00385	0.0014								-6.411172	-12.09603	-8.027306	-9.551259			0.001204	0.94582	0.006379	0.070901
0.01151	0.00045	0.00399	0.00154								-6.443144	-12.06094	-7.969116	-9.417536			0.002175	0.943152	-0.000279	0.074681
0.01115	0.00031	0.00403	0.00162								-6.489183	-12.552189	-7.95444	-9.341123			0.002371	0.896745	-0.000565	0.071332
0.01131	0.00034	0.00387	0.00164								-6.468721	-12.446922	-8.018993	-9.32202			0.002464	0.924744	0.005542	0.069931
0.00992	0.0005	0.00394	0.0017								-6.657655	-11.885494	-7.989898	-9.26471			0.00221	0.919709	0.002309	0.06446
0.01017	0.00043	0.00363	0.00183								-6.622685	-12.131119	-8.118745	-9.140539			0.003149	0.947743	0.01293	0.046597
0.00955	0.00054	0.00406	0.00207								-6.713297	-11.745137	-7.944849	-8.917117			0.003013	0.890383	0.000544	0.000962
0.00984	0.0007	0.00357	0.00197								-6.669255	-11.183711	-8.143683	-9.006816			0.002129	0.703353	0.013823	0.019228
0.01007	0.00058	0.00385	0.00197								-6.636673	-11.604781	-8.027306	-9.006816			0.002881	0.853121	0.006379	0.019228
0.00957	0.00069	0.00349	0.00248								-6.710259	-11.218799	-8.176935	-8.682803			0.002994	0.717683	0.014377	0.027358
0.00941	0.00073	0.00393	0.00265								-6.734558	-11.078442	-7.994054	-8.585648			0.002969	0.658626	0.0028	0.025856
0.00917	0.00078	0.00384	0.0029								-6.771006	-10.902997	-8.031462	-8.442773			0.002144	0.578758	0.006783	0.013041
0.00892	0.00064	0.00367	0.00284								-6.808973	-11.394246	-8.10212	-8.477063			0.000232	0.784604	0.012115	0.017169
0.00876	0.00074	0.00407	0.00284								-6.836004	-11.043353	-7.941651	-8.477063			0.001151	0.643165	0.000896	0.017169
